District,Year,Total Enrollment,Grade PK,Grade K,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,# Female,% Female,# Male,% Male,# Asian,% Asian,# Black,% Black,# Hispanic,% Hispanic,# Other,% Other,# White,% White,# Students with Disabilities,% Students with Disabilities,# English Language Learners,% English Language Learners,# Poverty,% Poverty
01,2010-11,13104,1173,1025,1016,902,859,905,892,872,817,942,840,1153,977,731,6461,49.3%,6643,50.7%,3035,23.2%,2237,17.1%,5590,42.7%,230,1.8%,2012,15.4%,2323,17.7%,1558,11.9%,9574,73.1%
01,2011-12,13020,1131,958,1025,1016,917,860,886,943,858,836,888,1053,888,761,6493,49.9%,6527,50.1%,3029,23.3%,2251,17.3%,5504,42.3%,205,1.6%,2031,15.6%,2312,17.8%,1512,11.6%,9346,71.8%
01,2012-13,12813,1109,937,942,984,977,907,809,862,908,854,842,1109,812,761,6322,49.3%,6491,50.7%,2944,23.0%,2199,17.2%,5352,41.8%,262,2.0%,2056,16.0%,2459,19.2%,1386,10.8%,9010,70.3%
01,2013-14,12492,985,942,927,882,947,943,858,749,848,898,725,1129,907,752,6167,49.4%,6325,50.6%,2868,23.0%,2162,17.3%,5110,40.9%,307,2.5%,2045,16.4%,2585,20.7%,1306,10.5%,8871,71.0%
01,2014-15,12316,1106,901,934,897,871,920,912,826,743,844,659,983,890,830,6040,49.0%,6276,51.0%,2812,22.8%,2083,16.9%,5039,40.9%,302,2.5%,2080,16.9%,2454,19.9%,1222,9.9%,8617,70.0%
02,2010-11,62283,1385,2963,2869,2684,2527,2383,2488,2282,2334,2295,11210,10868,8453,7542,32638,52.4%,29645,47.6%,14416,23.1%,11803,19.0%,22219,35.7%,1167,1.9%,12678,20.4%,8669,13.9%,7291,11.7%,41653,66.9%
02,2011-12,62319,1394,3107,3002,2782,2652,2516,2373,2441,2286,2331,10391,10610,8666,7768,32574,52.3%,29745,47.7%,14623,23.5%,11347,18.2%,21904,35.1%,1169,1.9%,13276,21.3%,8729,14.0%,6964,11.2%,39673,63.7%
02,2012-13,62757,1321,3287,3116,2928,2700,2645,2477,2316,2411,2283,10523,10042,8652,8056,32990,52.6%,29767,47.4%,14635,23.3%,11054,17.6%,21707,34.6%,1497,2.4%,13864,22.1%,9036,14.4%,6704,10.7%,39698,63.3%
02,2013-14,62741,1348,3113,3213,3031,2852,2665,2608,2406,2325,2473,9994,10030,8415,8268,32842,52.3%,29899,47.7%,14688,23.4%,10796,17.2%,21226,33.8%,1731,2.8%,14300,22.8%,9506,15.2%,6361,10.1%,38972,62.1%
02,2014-15,62854,1642,3139,3068,3086,2901,2845,2584,2494,2390,2319,10124,9706,8599,7957,32917,52.4%,29937,47.6%,14595,23.2%,10299,16.4%,21067,33.5%,2039,3.2%,14854,23.6%,9502,15.1%,5922,9.4%,37618,59.8%
03,2010-11,23108,925,1523,1588,1415,1459,1434,1423,1370,1301,1348,2521,2704,2034,2063,12216,52.9%,10892,47.1%,1621,7.0%,6750,29.2%,8108,35.1%,567,2.5%,6062,26.2%,3274,14.2%,1939,8.4%,14520,62.8%
03,2011-12,23157,966,1537,1513,1574,1373,1460,1435,1425,1364,1313,2649,2572,2174,1802,12415,53.6%,10742,46.4%,1770,7.6%,6506,28.1%,8068,34.8%,457,2.0%,6356,27.4%,3263,14.1%,1649,7.1%,13909,60.1%
03,2012-13,23119,853,1540,1503,1484,1569,1357,1438,1396,1415,1357,2399,2551,2223,2034,12304,53.2%,10815,46.8%,1784,7.7%,6115,26.5%,8092,35.0%,510,2.2%,6618,28.6%,3395,14.7%,1472,6.4%,12825,55.5%
03,2013-14,23098,860,1483,1532,1391,1457,1489,1334,1432,1371,1427,2467,2444,2310,2101,12307,53.3%,10791,46.7%,1809,7.8%,5825,25.2%,8106,35.1%,691,3.0%,6667,28.9%,3634,15.7%,1394,6.0%,12730,55.1%
03,2014-15,22920,986,1507,1501,1432,1356,1423,1456,1351,1390,1354,2290,2473,2135,2266,12266,53.5%,10654,46.5%,1786,7.8%,5476,23.9%,7947,34.7%,838,3.7%,6873,30.0%,3589,15.7%,1282,5.6%,12094,52.8%
04,2010-11,14728,919,1051,1098,1086,1170,1118,1105,1101,1146,1161,1164,1049,832,728,7592,51.5%,7136,48.5%,788,5.4%,4176,28.4%,9066,61.6%,306,2.1%,392,2.7%,2958,20.1%,1849,12.6%,13433,91.2%
04,2011-12,14325,885,1051,1057,1090,1080,1125,1093,1085,1138,1154,933,1036,836,762,7359,51.4%,6966,48.6%,831,5.8%,3988,27.8%,8911,62.2%,177,1.2%,418,2.9%,2894,20.2%,1655,11.6%,12612,88.0%
04,2012-13,14450,995,1109,1121,1068,1098,1101,1084,1063,1090,1110,1052,911,822,826,7433,51.4%,7017,48.6%,887,6.1%,3920,27.1%,9007,62.3%,182,1.3%,454,3.1%,3088,21.4%,1614,11.2%,12967,89.7%
04,2013-14,14265,1050,1027,1094,1105,1083,1067,1072,1050,1038,1076,1068,985,765,785,7322,51.3%,6943,48.7%,921,6.5%,3815,26.7%,8799,61.7%,221,1.5%,509,3.6%,3274,23.0%,1509,10.6%,13045,91.4%
04,2014-15,14220,1086,993,1076,1090,1081,1075,1041,1052,1041,1035,1034,1012,850,754,7257,51.0%,6963,49.0%,954,6.7%,3729,26.2%,8731,61.4%,242,1.7%,564,4.0%,3178,22.3%,1489,10.5%,12863,90.5%
05,2010-11,14022,1202,874,974,979,935,1028,882,978,1063,1160,1310,1090,828,719,7061,50.4%,6961,49.6%,315,2.2%,7843,55.9%,5229,37.3%,265,1.9%,370,2.6%,2335,16.7%,1552,11.1%,11469,81.8%
05,2011-12,13985,1211,913,921,946,969,903,910,953,1031,1053,1301,1216,871,787,7013,50.1%,6972,49.9%,351,2.5%,7737,55.3%,5370,38.4%,132,0.9%,395,2.8%,2321,16.6%,1506,10.8%,11716,83.8%
05,2012-13,13563,1234,854,943,890,922,895,792,911,942,1000,1262,1173,929,816,6619,48.8%,6944,51.2%,365,2.7%,7264,53.6%,5327,39.3%,161,1.2%,446,3.3%,2392,17.6%,1398,10.3%,11539,85.1%
05,2013-14,13150,1178,840,849,878,916,858,759,849,917,960,1233,1099,899,915,6385,48.6%,6765,51.4%,397,3.0%,6920,52.6%,5142,39.1%,216,1.6%,475,3.6%,2576,19.6%,1297,9.9%,11069,84.2%
05,2014-15,12943,1349,818,870,852,867,875,805,797,868,935,1106,1060,862,879,6254,48.3%,6689,51.7%,427,3.3%,6685,51.6%,5078,39.2%,244,1.9%,509,3.9%,2485,19.2%,1148,8.9%,10488,81.0%
06,2010-11,26744,1527,2131,2290,2250,2145,2205,1920,1977,2245,2361,1739,1692,1145,1117,12961,48.5%,13783,51.5%,256,1.0%,2001,7.5%,23305,87.1%,361,1.3%,821,3.1%,3656,13.7%,9207,34.4%,25332,94.7%
06,2011-12,26419,1555,2131,2259,2216,2236,2103,1878,1937,2009,2326,1663,1539,1250,1317,12878,48.7%,13541,51.3%,278,1.1%,1922,7.3%,23204,87.8%,133,0.5%,882,3.3%,3694,14.0%,8867,33.6%,24330,92.1%
06,2012-13,25562,1281,2092,2215,2144,2155,2176,1749,1853,1970,2057,1746,1519,1192,1413,12389,48.5%,13173,51.5%,287,1.1%,1889,7.4%,22403,87.6%,124,0.5%,859,3.4%,3820,14.9%,8229,32.2%,23265,91.0%
06,2013-14,25091,1394,2007,2195,2095,2094,2117,1775,1678,1908,2038,1717,1542,1102,1429,12160,48.5%,12931,51.5%,291,1.2%,1883,7.5%,21811,86.9%,163,0.6%,943,3.8%,4119,16.4%,7678,30.6%,22609,90.1%
06,2014-15,24817,1859,1953,2001,2090,2008,2058,1714,1736,1763,1893,1763,1506,1174,1299,12100,48.8%,12717,51.2%,297,1.2%,1851,7.5%,21467,86.5%,169,0.7%,1033,4.2%,3978,16.0%,7103,28.6%,21642,87.2%
07,2010-11,20407,1251,1265,1358,1381,1319,1375,1270,1405,1360,1424,1969,2233,1492,1305,9599,47.0%,10808,53.0%,195,1.0%,5722,28.0%,13918,68.2%,393,1.9%,179,0.9%,4130,20.2%,3691,18.1%,18778,92.0%
07,2011-12,20396,1310,1320,1391,1322,1423,1318,1292,1341,1401,1350,1935,1872,1530,1589,9610,47.1%,10786,52.9%,210,1.0%,5783,28.4%,14080,69.0%,131,0.6%,192,0.9%,4086,20.0%,3660,17.9%,18428,90.4%
07,2012-13,20091,1196,1262,1369,1334,1378,1366,1242,1371,1310,1410,1889,1878,1607,1479,9505,47.3%,10586,52.7%,210,1.0%,5623,28.0%,13910,69.2%,158,0.8%,190,0.9%,4229,21.0%,3611,18.0%,18853,93.8%
07,2013-14,20195,1161,1265,1367,1342,1358,1300,1292,1343,1347,1315,2135,1913,1515,1542,9507,47.1%,10688,52.9%,230,1.1%,5501,27.2%,14093,69.8%,177,0.9%,194,1.0%,4450,22.0%,3478,17.2%,18914,93.7%
07,2014-15,20696,1477,1326,1353,1343,1277,1348,1268,1264,1347,1337,2177,2140,1435,1604,9733,47.0%,10963,53.0%,247,1.2%,5593,27.0%,14378,69.5%,162,0.8%,316,1.5%,4325,20.9%,3445,16.6%,19053,92.1%
08,2010-11,32778,1793,2171,2327,2214,2247,2314,2364,2273,2365,2385,3284,3026,1906,2109,16214,49.5%,16564,50.5%,1509,4.6%,8401,25.6%,20338,62.0%,577,1.8%,1953,6.0%,6384,19.5%,3800,11.6%,30111,91.9%
08,2011-12,32216,1775,2278,2381,2207,2204,2234,2325,2229,2300,2369,3183,2758,1809,2164,15878,49.3%,16338,50.7%,1502,4.7%,8109,25.2%,20408,63.3%,245,0.8%,1952,6.1%,6306,19.6%,3738,11.6%,28058,87.1%
08,2012-13,31240,1795,2273,2456,2317,2098,2147,2236,2183,2209,2316,2763,2349,1952,2146,15314,49.0%,15926,51.0%,1515,4.8%,7732,24.8%,19848,63.5%,281,0.9%,1864,6.0%,6106,19.5%,3507,11.2%,27758,88.9%
08,2013-14,30453,1975,2262,2462,2296,2249,2042,2139,2113,2142,2242,2489,2163,1758,2121,14993,49.2%,15460,50.8%,1467,4.8%,7443,24.4%,19355,63.6%,333,1.1%,1855,6.1%,6671,21.9%,3424,11.2%,27289,89.6%
08,2014-15,30166,2171,2367,2355,2286,2234,2286,2024,2028,2099,2162,2374,2201,1667,1912,14706,48.8%,15460,51.2%,1537,5.1%,7182,23.8%,19056,63.2%,373,1.2%,2018,6.7%,6464,21.4%,3586,11.9%,26814,88.9%
09,2010-11,35882,1807,2854,3075,3033,2874,2770,2632,2874,2886,2994,2403,2192,1764,1724,17605,49.1%,18277,50.9%,473,1.3%,11419,31.8%,23211,64.7%,547,1.5%,232,0.6%,6285,17.5%,9009,25.1%,34002,94.8%
09,2011-12,35864,1778,3077,3020,2954,2832,2732,2636,2891,2922,2844,2570,2291,1790,1527,17612,49.1%,18251,50.9%,470,1.3%,11266,31.4%,23702,66.1%,200,0.6%,226,0.6%,6234,17.4%,8720,24.3%,33807,94.3%
09,2012-13,36205,1845,2980,3199,2986,2944,2724,2634,2831,2943,2904,2461,2329,1819,1606,17685,48.8%,18520,51.2%,486,1.3%,11255,31.1%,23960,66.2%,256,0.7%,248,0.7%,6605,18.2%,8619,23.8%,34423,95.1%
09,2013-14,36813,1898,3060,3192,3132,3023,2781,2638,2807,2880,2921,2382,2360,2027,1712,18064,49.1%,18749,50.9%,484,1.3%,11216,30.5%,24525,66.6%,271,0.7%,317,0.9%,7347,20.0%,8435,22.9%,35039,95.2%
09,2014-15,37312,2464,3005,3128,3132,3001,2902,2675,2723,2861,2834,2420,2284,2038,1845,18182,48.7%,19130,51.3%,539,1.4%,11207,30.0%,24841,66.6%,266,0.7%,459,1.2%,7221,19.4%,8189,21.9%,34836,93.4%
10,2010-11,59286,2861,4292,4377,4223,3992,4142,4056,3817,3773,3885,6126,5569,4148,4025,29244,49.3%,30042,50.7%,4406,7.4%,11307,19.1%,38872,65.6%,1379,2.3%,3322,5.6%,9973,16.8%,12638,21.3%,50870,85.8%
10,2011-12,58997,2689,4397,4579,4288,4157,3934,4082,4035,3769,3765,5708,5298,4270,4026,29079,49.3%,29918,50.7%,4513,7.6%,11121,18.9%,39621,67.2%,380,0.6%,3362,5.7%,9943,16.9%,12568,21.3%,50377,85.4%
10,2012-13,57445,2164,4428,4644,4351,4157,3988,3838,3777,3891,3839,5312,4937,3992,4127,28084,48.9%,29361,51.1%,4434,7.7%,10404,18.1%,38858,67.6%,501,0.9%,3248,5.7%,10142,17.7%,12001,20.9%,50466,87.9%
10,2013-14,57339,2210,4456,4778,4550,4270,4113,4013,3714,3673,4005,4932,4639,3845,4141,28119,49.0%,29220,51.0%,4323,7.5%,10217,17.8%,38804,67.7%,667,1.2%,3328,5.8%,10895,19.0%,11724,20.4%,50468,88.0%
10,2014-15,57714,3032,4566,4641,4516,4443,4264,4075,3758,3716,3747,4870,4481,3731,3874,28202,48.9%,29512,51.1%,4299,7.4%,9852,17.1%,39242,68.0%,782,1.4%,3539,6.1%,10647,18.4%,11501,19.9%,49981,86.6%
11,2010-11,39950,1723,3007,3215,3235,3233,3225,3208,3048,3005,3137,3232,2894,2067,1721,18836,47.1%,21114,52.9%,2601,6.5%,17438,43.6%,16285,40.8%,860,2.2%,2766,6.9%,6828,17.1%,4111,10.3%,34607,86.6%
11,2011-12,39545,1750,2928,3300,3177,3275,3121,3245,3081,3034,3022,3266,2730,1842,1774,18828,47.6%,20717,52.4%,2721,6.9%,17014,43.0%,16505,41.7%,426,1.1%,2879,7.3%,6735,17.0%,3965,10.0%,33961,85.9%
11,2012-13,39811,1818,3110,3313,3299,3267,3098,3115,3124,3050,3057,3202,2753,1696,1909,18994,47.7%,20817,52.3%,2781,7.0%,17043,42.8%,16472,41.4%,529,1.3%,2986,7.5%,6915,17.4%,3845,9.7%,34610,86.9%
11,2013-14,39954,1952,3159,3417,3285,3280,3163,3065,2993,3159,3069,3087,2722,1837,1766,18966,47.5%,20988,52.5%,2894,7.2%,16908,42.3%,16536,41.4%,643,1.6%,2973,7.4%,7484,18.7%,3739,9.4%,35129,87.9%
11,2014-15,41182,2890,3175,3414,3371,3247,3263,3114,2928,3007,3171,3039,2661,1944,1958,19769,48.0%,21413,52.0%,3047,7.4%,17363,42.2%,16640,40.4%,748,1.8%,3384,8.2%,7339,17.8%,3851,9.4%,35328,85.8%
12,2010-11,24223,1452,1869,1985,1886,1873,1847,1786,1744,1892,1841,1940,1731,1250,1127,12105,50.0%,12118,50.0%,469,1.9%,6758,27.9%,16271,67.2%,490,2.0%,235,1.0%,4517,18.6%,4634,19.1%,22528,93.0%
12,2011-12,24353,1435,1896,1976,1865,1889,1795,1831,1800,1754,1898,1920,1788,1479,1027,12168,50.0%,12185,50.0%,481,2.0%,6734,27.7%,16683,68.5%,190,0.8%,265,1.1%,4552,18.7%,4642,19.1%,22576,92.7%
12,2012-13,24466,1421,1891,2013,1927,1866,1808,1764,1782,1800,1788,1871,1927,1431,1177,12149,49.7%,12317,50.3%,479,2.0%,6625,27.1%,16844,68.8%,257,1.1%,261,1.1%,4679,19.1%,4551,18.6%,22946,93.8%
12,2013-14,24653,1415,1955,2069,1930,1976,1795,1764,1717,1794,1785,1777,1828,1578,1270,12164,49.3%,12489,50.7%,500,2.0%,6646,27.0%,16908,68.6%,316,1.3%,283,1.1%,4941,20.0%,4369,17.7%,23169,94.0%
12,2014-15,25000,1631,1956,2051,2000,1857,1986,1701,1680,1736,1796,1907,1808,1523,1368,12278,49.1%,12722,50.9%,542,2.2%,6633,26.5%,17054,68.2%,357,1.4%,414,1.7%,4886,19.5%,4459,17.8%,22999,92.0%
13,2010-11,23218,903,1141,1168,1100,1118,1103,1049,1194,1145,1145,3336,3448,2699,2669,11032,47.5%,12186,52.5%,3816,16.4%,13536,58.3%,3581,15.4%,279,1.2%,2006,8.6%,2658,11.4%,1087,4.7%,17321,74.6%
13,2011-12,23347,896,1234,1168,1136,1115,1047,971,1095,1138,1114,3240,3271,2998,2924,11187,47.9%,12160,52.1%,4029,17.3%,13265,56.8%,3574,15.3%,265,1.1%,2214,9.5%,2632,11.3%,1057,4.5%,17575,75.3%
13,2012-13,23129,797,1271,1285,1150,1121,1047,968,942,1017,1064,3293,3184,2872,3118,11231,48.6%,11898,51.4%,4113,17.8%,12587,54.4%,3661,15.8%,440,1.9%,2328,10.1%,2698,11.7%,1001,4.3%,16814,72.7%
13,2013-14,22551,842,1215,1301,1219,1146,1039,938,828,960,995,2999,3139,2787,3143,10945,48.5%,11606,51.5%,4196,18.6%,11716,52.0%,3609,16.0%,556,2.5%,2474,11.0%,2926,13.0%,996,4.4%,16316,72.4%
13,2014-15,22253,1115,1201,1240,1242,1178,1084,941,723,755,913,3008,2929,2908,3016,10726,48.2%,11527,51.8%,4134,18.6%,11072,49.8%,3601,16.2%,672,3.0%,2774,12.5%,2810,12.6%,931,4.2%,15490,69.6%
14,2010-11,21672,1749,1281,1386,1399,1346,1361,1325,1374,1442,1429,2534,1912,1717,1417,10531,48.6%,11141,51.4%,664,3.1%,5868,27.1%,12446,57.4%,398,1.8%,2296,10.6%,3739,17.3%,2607,12.0%,19725,91.0%
14,2011-12,21835,1781,1388,1310,1345,1400,1294,1284,1411,1341,1405,2508,2030,1630,1706,10697,49.0%,11138,51.0%,739,3.4%,5738,26.3%,12671,58.0%,118,0.5%,2569,11.8%,3806,17.4%,2482,11.4%,19553,89.5%
14,2012-13,21196,1677,1414,1400,1282,1288,1312,1236,1310,1378,1337,2391,2080,1526,1565,10167,48.0%,11029,52.0%,794,3.7%,5312,25.1%,12420,58.6%,161,0.8%,2509,11.8%,3833,18.1%,2374,11.2%,19203,90.6%
14,2013-14,21064,1600,1413,1459,1366,1219,1279,1234,1274,1322,1378,1979,2132,1795,1614,10084,47.9%,10980,52.1%,849,4.0%,5109,24.3%,12421,59.0%,205,1.0%,2480,11.8%,4119,19.6%,2295,10.9%,18958,90.0%
14,2014-15,20761,1701,1317,1393,1359,1257,1170,1204,1291,1234,1300,2147,1975,1645,1768,9934,47.8%,10827,52.2%,846,4.1%,4774,23.0%,12155,58.5%,319,1.5%,2667,12.8%,3946,19.0%,2259,10.9%,18087,87.1%
15,2010-11,27969,2234,2787,2898,2671,2578,2413,2350,1599,1685,1750,1475,1705,935,889,13998,50.0%,13971,50.0%,3658,13.1%,5302,19.0%,12037,43.0%,641,2.3%,6331,22.6%,5024,18.0%,4525,16.2%,20292,72.6%
15,2011-12,28772,2222,2986,2995,2854,2644,2546,2382,1716,1586,1697,1498,1563,1144,939,14583,50.7%,14189,49.3%,3991,13.9%,5064,17.6%,12453,43.3%,401,1.4%,6863,23.9%,5038,17.5%,4721,16.4%,20138,70.0%
15,2012-13,29627,1887,3172,3182,2974,2802,2601,2475,1765,1675,1657,1683,1688,987,1079,15008,50.7%,14619,49.3%,4462,15.1%,4919,16.6%,12287,41.5%,521,1.8%,7438,25.1%,5399,18.2%,5116,17.3%,20885,70.5%
15,2013-14,30729,2096,3228,3316,3113,2907,2744,2529,1772,1723,1684,1668,1649,1234,1066,15455,50.3%,15274,49.7%,4806,15.6%,4831,15.7%,12375,40.3%,679,2.2%,8038,26.2%,5844,19.0%,5189,16.9%,21419,69.7%
15,2014-15,31916,2457,3233,3252,3262,3004,2836,2683,1772,1753,1708,1721,1735,1312,1188,16094,50.4%,15822,49.6%,5110,16.0%,4866,15.2%,12493,39.1%,786,2.5%,8661,27.1%,5654,17.7%,5429,17.0%,21430,67.1%
16,2010-11,10773,877,767,804,797,801,901,836,673,618,651,663,816,683,886,5128,47.6%,5645,52.4%,118,1.1%,8678,80.6%,1621,15.0%,253,2.3%,103,1.0%,2202,20.4%,367,3.4%,9339,86.7%
16,2011-12,10354,972,751,809,783,758,774,761,675,684,632,594,644,763,754,4933,47.6%,5421,52.4%,124,1.2%,8393,81.1%,1642,15.9%,96,0.9%,99,1.0%,2118,20.5%,397,3.8%,8883,85.8%
16,2012-13,9634,864,662,792,736,759,751,706,569,645,665,533,549,544,859,4581,47.6%,5053,52.4%,131,1.4%,7728,80.2%,1605,16.7%,75,0.8%,95,1.0%,2028,21.1%,408,4.2%,8525,88.5%
16,2013-14,9063,889,660,690,727,705,700,605,522,549,641,538,543,480,814,4328,47.8%,4735,52.2%,137,1.5%,7208,79.5%,1535,16.9%,79,0.9%,104,1.1%,2060,22.7%,380,4.2%,8114,89.5%
16,2014-15,8314,817,643,604,622,668,644,588,426,514,511,552,511,482,732,3967,47.7%,4347,52.3%,140,1.7%,6496,78.1%,1476,17.8%,99,1.2%,103,1.2%,1841,22.1%,388,4.7%,7103,85.4%
17,2010-11,28071,1688,1674,1884,1977,1965,1956,1814,2102,2109,2165,2297,2594,1804,2042,14382,51.2%,13689,48.8%,528,1.9%,22718,80.9%,3634,12.9%,535,1.9%,656,2.3%,3899,13.9%,2672,9.5%,24843,88.5%
17,2011-12,27353,1634,1705,1862,1850,1905,1856,1755,2041,2098,2124,2369,2485,1801,1868,14088,51.5%,13265,48.5%,583,2.1%,22387,81.8%,3374,12.3%,256,0.9%,753,2.8%,3729,13.6%,2598,9.5%,23714,86.7%
