District,Year,Total Enrollment,Grade PK,Grade K,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,# Female,% Female,# Male,% Male,# Asian,% Asian,# Black,% Black,# Hispanic,% Hispanic,# Other,% Other,# White,% White,# Students with Disabilities,% Students with Disabilities,# English Language Learners,% English Language Learners,# Poverty,% Poverty
17,2012-13,26500,1714,1655,1846,1747,1710,1773,1637,1931,2015,2094,2401,2402,1785,1790,13467,50.8%,13033,49.2%,573,2.2%,21386,80.7%,3398,12.8%,372,1.4%,771,2.9%,3844,14.5%,2585,9.8%,23421,88.4%
17,2013-14,25604,1782,1531,1750,1759,1672,1564,1571,1725,1914,1955,2203,2387,1911,1880,12957,50.6%,12647,49.4%,581,2.3%,20481,80.0%,3422,13.4%,419,1.6%,701,2.7%,4017,15.7%,2502,9.8%,22575,88.2%
17,2014-15,25523,2310,1549,1559,1659,1641,1598,1399,1687,1784,1903,2254,2210,1959,2011,12773,50.0%,12750,50.0%,599,2.3%,20095,78.7%,3574,14.0%,477,1.9%,778,3.0%,4006,15.7%,2384,9.3%,21754,85.2%
18,2010-11,19106,699,1272,1502,1651,1682,1734,1653,1474,1497,1422,1215,1294,1020,991,9408,49.2%,9698,50.8%,239,1.3%,17147,89.7%,1242,6.5%,204,1.1%,274,1.4%,2756,14.4%,1150,6.0%,15807,82.7%
18,2011-12,18592,675,1247,1431,1421,1594,1667,1604,1463,1451,1534,1229,1336,972,968,9213,49.6%,9379,50.4%,191,1.0%,16804,90.4%,1217,6.5%,106,0.6%,274,1.5%,2729,14.7%,1032,5.6%,15659,84.2%
18,2012-13,18050,682,1322,1354,1413,1419,1552,1514,1393,1431,1470,1196,1361,953,990,8978,49.7%,9072,50.3%,189,1.0%,16272,90.1%,1127,6.2%,132,0.7%,330,1.8%,2816,15.6%,913,5.1%,15392,85.3%
18,2013-14,17614,799,1148,1386,1308,1437,1385,1329,1367,1373,1467,1146,1281,1141,1047,8709,49.4%,8904,50.6%,198,1.1%,15662,88.9%,1157,6.6%,180,1.0%,417,2.4%,2991,17.0%,895,5.1%,14856,84.3%
18,2014-15,17452,1277,1162,1256,1319,1275,1403,1205,1187,1325,1339,1314,1294,1051,1045,8569,49.1%,8883,50.9%,213,1.2%,15318,87.8%,1270,7.3%,258,1.5%,393,2.3%,2817,16.1%,830,4.8%,14254,81.7%
19,2010-11,26776,1739,1980,2133,2135,2188,2166,2045,1859,1879,1978,1951,1820,1302,1601,12859,48.0%,13917,52.0%,1550,5.8%,14051,52.5%,10444,39.0%,385,1.4%,346,1.3%,3867,14.4%,3256,12.2%,24407,91.2%
19,2011-12,25890,1715,1941,2140,2012,2116,2110,1989,1882,1863,1874,1763,1535,1307,1643,12459,48.1%,13431,51.9%,1566,6.0%,13347,51.6%,10413,40.2%,233,0.9%,331,1.3%,3808,14.7%,3062,11.8%,23494,90.7%
19,2012-13,25374,1671,1973,2082,2030,1959,1923,1983,1812,1800,1847,1853,1621,1184,1636,12145,47.9%,13229,52.1%,1583,6.2%,12876,50.7%,10284,40.5%,271,1.1%,360,1.4%,4084,16.1%,2930,11.5%,23064,90.9%
19,2013-14,24798,1693,1894,2070,2004,1975,1896,1816,1792,1764,1803,1749,1455,1174,1713,11794,47.6%,13004,52.4%,1555,6.3%,12338,49.8%,10206,41.2%,335,1.4%,364,1.5%,4560,18.4%,2791,11.3%,22518,90.8%
19,2014-15,24163,2015,1718,1909,1992,1887,1912,1742,1638,1789,1764,1653,1452,1253,1439,11487,47.5%,12676,52.5%,1634,6.8%,11720,48.5%,10079,41.7%,343,1.4%,387,1.6%,4350,18.0%,2773,11.5%,21374,88.5%
20,2010-11,46295,2907,3638,3726,3518,3312,3112,3190,3405,3385,3442,3904,4085,2364,2307,21784,47.1%,24511,52.9%,17949,38.8%,1909,4.1%,12240,26.4%,466,1.0%,13731,29.7%,6084,13.1%,12073,26.1%,38323,82.8%
20,2011-12,47421,3013,3913,3811,3714,3513,3313,3163,3599,3463,3528,3671,3964,2405,2351,22471,47.4%,24950,52.6%,18754,39.5%,1849,3.9%,12337,26.0%,178,0.4%,14303,30.2%,6445,13.6%,11795,24.9%,38944,82.1%
20,2012-13,48425,2608,4028,4169,3787,3663,3521,3318,3456,3676,3584,3937,3784,2368,2526,23088,47.7%,25337,52.3%,19564,40.4%,1773,3.7%,12658,26.1%,278,0.6%,14152,29.2%,6741,13.9%,12144,25.1%,38427,79.4%
20,2013-14,49506,2333,4029,4290,4160,3852,3671,3532,3589,3494,3838,3879,3628,2640,2571,23574,47.6%,25932,52.4%,20585,41.6%,1800,3.6%,12966,26.2%,371,0.7%,13784,27.8%,7095,14.3%,12176,24.6%,40092,81.0%
20,2014-15,51080,2695,4181,4231,4220,4160,3869,3678,3790,3676,3581,3929,3872,2440,2758,24519,48.0%,26561,52.0%,21430,42.0%,1698,3.3%,13385,26.2%,424,0.8%,14143,27.7%,7235,14.2%,12687,24.8%,40953,80.2%
21,2010-11,35613,2169,2039,2163,1975,1931,1973,1862,2640,2691,2914,4060,4027,2698,2471,17445,49.0%,18168,51.0%,8760,24.6%,6838,19.2%,8088,22.7%,429,1.2%,11498,32.3%,5440,15.3%,5725,16.1%,29621,83.2%
21,2011-12,34964,1977,2083,2140,2151,1934,1959,1958,2649,2621,2748,3613,3995,2540,2596,17043,48.7%,17921,51.3%,8750,25.0%,6310,18.0%,8242,23.6%,218,0.6%,11444,32.7%,5416,15.5%,5471,15.6%,26973,77.1%
21,2012-13,34922,2089,2196,2155,2094,2173,1938,1913,2759,2702,2665,3320,3633,2649,2636,17030,48.8%,17892,51.2%,8731,25.0%,5930,17.0%,8407,24.1%,273,0.8%,11581,33.2%,5658,16.2%,5323,15.2%,27752,79.5%
21,2013-14,34943,1972,2163,2316,2121,2097,2086,1893,2740,2740,2752,3395,3237,2588,2843,16966,48.6%,17977,51.4%,8761,25.1%,5669,16.2%,8675,24.8%,357,1.0%,11481,32.9%,5859,16.8%,5195,14.9%,27634,79.1%
21,2014-15,35814,2350,2173,2228,2291,2115,2112,2023,2826,2793,2780,3637,3353,2440,2693,17358,48.5%,18456,51.5%,8843,24.7%,5729,16.0%,8988,25.1%,455,1.3%,11799,32.9%,5962,16.6%,5438,15.2%,28162,78.6%
22,2010-11,37886,2463,2726,2869,2890,2983,3021,2926,2309,2399,2433,3103,3110,2298,2356,18978,50.1%,18908,49.9%,6119,16.2%,15376,40.6%,5137,13.6%,886,2.3%,10368,27.4%,4954,13.1%,3724,9.8%,29342,77.4%
22,2011-12,37212,2370,2760,2945,2825,2875,2966,3002,2283,2305,2442,2771,3021,2265,2381,18619,50.0%,18593,50.0%,6190,16.6%,14937,40.1%,5224,14.0%,262,0.7%,10599,28.5%,4913,13.2%,3668,9.9%,27012,72.6%
22,2012-13,36608,2194,2874,2968,2890,2791,2827,2885,2243,2296,2317,3000,2718,2238,2367,18127,49.5%,18481,50.5%,6260,17.1%,14202,38.8%,5214,14.2%,357,1.0%,10575,28.9%,5026,13.7%,3631,9.9%,26117,71.3%
22,2013-14,35912,2147,2801,3077,2943,2832,2750,2768,2163,2247,2305,2629,2854,2023,2373,17700,49.3%,18212,50.7%,6398,17.8%,13288,37.0%,5178,14.4%,438,1.2%,10610,29.5%,5236,14.6%,3534,9.8%,25535,71.1%
22,2014-15,35745,2672,2750,2919,3044,2874,2818,2687,2067,2140,2261,2449,2703,2207,2154,17624,49.3%,18121,50.7%,6576,18.4%,12594,35.2%,5285,14.8%,510,1.4%,10780,30.2%,5136,14.4%,3497,9.8%,24984,69.9%
23,2010-11,12296,825,799,962,981,1015,980,958,1169,1338,1316,536,528,418,471,6103,49.6%,6193,50.4%,122,1.0%,9704,78.9%,2160,17.6%,220,1.8%,90,0.7%,2123,17.3%,491,4.0%,11410,92.8%
23,2011-12,11874,858,807,876,919,997,910,864,1249,1190,1299,628,519,335,423,5778,48.7%,6096,51.3%,110,0.9%,9436,79.5%,2163,18.2%,66,0.6%,99,0.8%,2123,17.9%,506,4.3%,10803,91.0%
23,2012-13,11301,818,854,844,832,894,866,792,1065,1219,1181,524,555,419,438,5351,47.3%,5950,52.7%,129,1.1%,8782,77.7%,2187,19.4%,109,1.0%,94,0.8%,2172,19.2%,526,4.7%,10304,91.2%
23,2013-14,10767,890,779,856,779,795,853,686,1031,1017,1189,496,544,439,413,5117,47.5%,5650,52.5%,94,0.9%,8341,77.5%,2114,19.6%,121,1.1%,97,0.9%,2312,21.5%,466,4.3%,9679,89.9%
23,2014-15,10459,831,795,818,850,758,779,774,894,994,1018,480,492,438,538,4964,47.5%,5495,52.5%,99,0.9%,8000,76.5%,2132,20.4%,129,1.2%,99,0.9%,2182,20.9%,470,4.5%,9171,87.7%
24,2010-11,56121,3558,4841,4899,4679,4507,4229,4190,3776,3999,3979,3635,3790,2869,3170,26479,47.2%,29642,52.8%,10949,19.5%,2027,3.6%,34001,60.6%,1155,2.1%,7989,14.2%,6938,12.4%,13419,23.9%,48005,85.5%
24,2011-12,57585,3696,4982,5046,4911,4654,4529,4249,3916,3978,4070,3911,3391,2954,3298,27212,47.3%,30373,52.7%,11375,19.8%,2009,3.5%,35744,62.1%,242,0.4%,8215,14.3%,7190,12.5%,13037,22.6%,47642,82.7%
24,2012-13,58656,3683,5211,5112,5016,4904,4612,4395,4043,4129,4054,3645,3562,2839,3451,27796,47.4%,30860,52.6%,11664,19.9%,1889,3.2%,36377,62.0%,381,0.6%,8345,14.2%,7646,13.0%,12844,21.9%,49744,84.8%
24,2013-14,59750,3660,5235,5342,5033,4987,4795,4523,3968,4284,4222,3773,3487,3153,3288,28247,47.3%,31503,52.7%,11827,19.8%,1860,3.1%,37157,62.2%,492,0.8%,8414,14.1%,8411,14.1%,12875,21.5%,51194,85.7%
24,2014-15,60211,3466,5182,5325,5164,4977,4928,4641,4134,4181,4333,3886,3514,2961,3519,28524,47.4%,31687,52.6%,11789,19.6%,1803,3.0%,37613,62.5%,503,0.8%,8503,14.1%,8462,14.1%,13153,21.8%,50949,84.6%
25,2010-11,35366,2107,2710,2793,2548,2510,2337,2447,2422,2382,2501,3517,2832,2136,2124,17170,48.5%,18196,51.5%,15514,43.9%,3681,10.4%,9985,28.2%,306,0.9%,5880,16.6%,4427,12.5%,6710,19.0%,27857,78.8%
25,2011-12,36436,2319,2795,2749,2775,2498,2452,2349,2592,2488,2421,3429,2777,2423,2368,17878,49.1%,18558,50.9%,16252,44.6%,3776,10.4%,10374,28.5%,265,0.7%,5769,15.8%,4476,12.3%,6418,17.6%,25832,70.9%
25,2012-13,37096,2350,3102,2882,2699,2716,2461,2449,2455,2588,2529,3084,2762,2428,2591,18178,49.0%,18918,51.0%,16991,45.8%,3700,10.0%,10481,28.3%,305,0.8%,5619,15.1%,4761,12.8%,6454,17.4%,26635,71.8%
25,2013-14,37279,2375,2918,3129,2826,2683,2639,2503,2489,2483,2637,3048,2530,2338,2681,18209,48.8%,19070,51.2%,17422,46.7%,3458,9.3%,10562,28.3%,402,1.1%,5435,14.6%,5063,13.6%,6491,17.4%,26784,71.8%
25,2014-15,38140,2816,2934,2991,3108,2796,2676,2632,2584,2513,2512,3129,2683,2233,2533,18629,48.8%,19511,51.2%,17942,47.0%,3311,8.7%,10939,28.7%,478,1.3%,5470,14.3%,5008,13.1%,6753,17.7%,27086,71.0%
26,2010-11,32569,1184,1619,1729,1671,1601,1656,1814,1804,1885,1932,4269,4238,3375,3792,16083,49.4%,16486,50.6%,16336,50.2%,4633,14.2%,5130,15.8%,260,0.8%,6210,19.1%,3955,12.1%,2576,7.9%,17805,54.7%
26,2011-12,31930,1214,1683,1661,1742,1672,1668,1674,1937,1805,1916,3753,3890,3759,3556,15735,49.3%,16195,50.7%,16062,50.3%,4306,13.5%,5264,16.5%,257,0.8%,6041,18.9%,3889,12.2%,2438,7.6%,17335,54.3%
26,2012-13,32003,1235,1804,1727,1671,1790,1720,1707,1857,1931,1891,3948,3610,3412,3700,15781,49.3%,16222,50.7%,16186,50.6%,4224,13.2%,5284,16.5%,412,1.3%,5897,18.4%,3956,12.4%,2494,7.8%,18273,57.1%
26,2013-14,31982,1271,1800,1898,1756,1719,1856,1736,1922,1868,1969,4198,3508,3340,3141,15604,48.8%,16378,51.2%,16296,51.0%,4024,12.6%,5383,16.8%,516,1.6%,5763,18.0%,4157,13.0%,2406,7.5%,18334,57.3%
26,2014-15,32273,1477,1850,1861,1951,1770,1756,1877,1905,1914,1925,4279,3547,3307,2854,15754,48.8%,16519,51.2%,16616,51.5%,3943,12.2%,5480,17.0%,573,1.8%,5661,17.5%,4127,12.8%,2403,7.4%,18096,56.1%
27,2010-11,47691,2563,3724,3688,3768,3700,3675,3569,3626,3843,3725,3585,3419,2978,1828,23023,48.3%,24668,51.7%,11408,23.9%,13708,28.7%,16768,35.2%,929,1.9%,4878,10.2%,6607,13.9%,4572,9.6%,39783,83.4%
27,2011-12,47511,2500,3763,3757,3631,3713,3611,3642,3718,3710,3836,3407,3140,2958,2125,22951,48.3%,24560,51.7%,11368,23.9%,13261,27.9%,17116,36.0%,816,1.7%,4950,10.4%,6699,14.1%,4455,9.4%,39419,83.0%
27,2012-13,47203,2590,3908,3711,3708,3552,3630,3531,3805,3696,3711,3420,3050,2691,2200,22727,48.1%,24476,51.9%,11282,23.9%,12932,27.4%,16914,35.8%,1149,2.4%,4926,10.4%,6918,14.7%,4245,9.0%,38996,82.6%
27,2013-14,45926,2518,3707,3859,3612,3529,3480,3570,3578,3679,3649,3229,2727,2624,2165,21935,47.8%,23991,52.2%,10734,23.4%,12114,26.4%,16839,36.7%,1588,3.5%,4651,10.1%,7248,15.8%,4068,8.9%,38459,83.7%
27,2014-15,46094,2817,3542,3748,3844,3536,3486,3493,3644,3614,3714,3403,2562,2514,2177,22042,47.8%,24052,52.2%,10540,22.9%,11573,25.1%,17340,37.6%,1944,4.2%,4697,10.2%,7229,15.7%,4409,9.6%,37805,82.0%
28,2010-11,38753,2214,2622,2800,2706,2639,2531,2612,2436,2285,2190,4085,3687,2948,2998,19081,49.2%,19672,50.8%,11491,29.7%,10853,28.0%,9312,24.0%,994,2.6%,6103,15.7%,5134,13.2%,4141,10.7%,29021,74.9%
28,2011-12,39358,2388,2729,2746,2747,2723,2583,2550,2584,2292,2327,3980,3733,3079,2897,19460,49.4%,19898,50.6%,11765,29.9%,10541,26.8%,9784,24.9%,888,2.3%,6380,16.2%,5210,13.2%,4213,10.7%,29013,73.7%
28,2012-13,39643,2075,2826,2863,2749,2671,2636,2503,2401,2439,2277,3990,3763,3319,3131,19779,49.9%,19864,50.1%,11586,29.2%,10036,25.3%,10136,25.6%,1349,3.4%,6536,16.5%,5253,13.3%,4075,10.3%,29652,74.8%
28,2013-14,40444,2142,2835,2957,2807,2711,2561,2617,2404,2327,2456,3954,3904,3392,3377,20112,49.7%,20332,50.3%,11748,29.0%,9982,24.7%,10501,26.0%,1649,4.1%,6564,16.2%,5645,14.0%,3910,9.7%,30214,74.7%
28,2014-15,41339,2613,2814,2958,2855,2795,2694,2514,2435,2386,2383,4108,3812,3555,3417,20451,49.5%,20888,50.5%,11914,28.8%,9980,24.1%,11054,26.7%,1877,4.5%,6514,15.8%,5580,13.5%,3885,9.4%,31157,75.4%
29,2010-11,28477,1726,2382,2578,2596,2639,2658,2628,2454,2590,2642,1150,946,747,741,13967,49.0%,14510,51.0%,4015,14.1%,19564,68.7%,3577,12.6%,709,2.5%,612,2.1%,3764,13.2%,2073,7.3%,23364,82.0%
29,2011-12,28236,1701,2432,2564,2548,2513,2592,2625,2395,2470,2610,1348,979,741,718,13942,49.4%,14294,50.6%,4166,14.8%,19271,68.2%,3769,13.3%,449,1.6%,581,2.1%,3706,13.1%,2010,7.1%,23056,81.7%
29,2012-13,27889,1456,2478,2663,2487,2532,2469,2564,2355,2479,2464,1272,1134,824,712,13712,49.2%,14177,50.8%,4223,15.1%,18767,67.3%,3770,13.5%,564,2.0%,565,2.0%,3904,14.0%,1969,7.1%,22680,81.3%
29,2013-14,27645,1575,2379,2707,2561,2438,2470,2422,2209,2374,2462,1200,1090,945,813,13569,49.1%,14076,50.9%,4189,15.2%,18465,66.8%,3804,13.8%,684,2.5%,503,1.8%,4212,15.2%,1893,6.8%,22628,81.9%
29,2014-15,28167,2361,2262,2472,2641,2517,2424,2387,2196,2230,2382,1348,1076,954,917,13764,48.9%,14403,51.1%,4204,14.9%,18669,66.3%,3983,14.1%,810,2.9%,501,1.8%,4092,14.5%,1984,7.0%,22290,79.1%
30,2010-11,41181,2553,3141,3195,3169,3074,2987,3046,3242,3029,3078,3360,3345,2084,1878,20370,49.5%,20811,50.5%,9154,22.2%,3241,7.9%,21762,52.8%,637,1.5%,6387,15.5%,5241,12.7%,9075,22.0%,36510,88.7%
30,2011-12,41463,2588,3207,3198,3115,3124,3018,3100,3424,3057,3077,2946,3127,2406,2076,20578,49.6%,20885,50.4%,9417,22.7%,3112,7.5%,22263,53.7%,276,0.7%,6395,15.4%,5219,12.6%,8473,20.4%,34353,82.9%
30,2012-13,41418,2627,3291,3352,3103,2993,3103,3083,3351,3239,3068,2606,2899,2299,2404,20478,49.4%,20940,50.6%,9373,22.6%,3019,7.3%,22184,53.6%,421,1.0%,6421,15.5%,5436,13.1%,8143,19.7%,35043,84.6%
30,2013-14,41218,2639,3131,3408,3219,3085,2910,3125,3400,3232,3290,2756,2706,2080,2237,20335,49.3%,20883,50.7%,9200,22.3%,2923,7.1%,22154,53.7%,504,1.2%,6437,15.6%,5682,13.8%,7751,18.8%,35079,85.1%
30,2014-15,41470,3087,3222,3225,3328,3134,3050,2902,3423,3215,3241,2926,2758,1930,2029,20467,49.4%,21003,50.6%,9207,22.2%,2852,6.9%,22264,53.7%,653,1.6%,6494,15.7%,5574,13.4%,7493,18.1%,35024,84.5%
31,2010-11,61603,3529,4444,4744,4841,4695,4384,4474,4201,4251,4324,5358,4839,4085,3434,30000,48.7%,31603,51.3%,5021,8.2%,8875,14.4%,14497,23.5%,1076,1.7%,32134,52.2%,11765,19.1%,3491,5.7%,34214,55.5%
31,2011-12,62036,3579,4650,4638,4622,4801,4623,4370,4301,4157,4277,5479,4847,4049,3643,30253,48.8%,31783,51.2%,5064,8.2%,8719,14.1%,15386,24.8%,515,0.8%,32352,52.2%,12114,19.5%,3454,5.6%,34671,55.9%
31,2012-13,61898,3521,4677,4760,4560,4623,4710,4604,4108,4246,4193,5319,4800,4095,3682,30040,48.5%,31858,51.5%,5088,8.2%,8345,13.5%,15838,25.6%,747,1.2%,31880,51.5%,12709,20.5%,3309,5.3%,35285,57.0%
31,2013-14,62021,3536,4666,4807,4635,4504,4532,4706,4235,4080,4280,5186,4975,4048,3831,30162,48.6%,31858,51.4%,5077,8.2%,8150,13.1%,16422,26.5%,932,1.5%,31440,50.7%,13473,21.7%,3177,5.1%,35364,57.0%
31,2014-15,62335,3905,4602,4810,4693,4625,4485,4508,4303,4286,4127,5102,4954,4202,3733,30382,48.7%,31953,51.3%,5128,8.2%,8147,13.1%,17030,27.3%,980,1.6%,31050,49.8%,13359,21.4%,3184,5.1%,35027,56.2%
32,2010-11,16177,1194,1216,1332,1352,1233,1313,1282,1349,1355,1563,647,1074,630,637,7956,49.2%,8221,50.8%,265,1.6%,3621,22.4%,11835,73.2%,256,1.6%,200,1.2%,2283,14.1%,3109,19.2%,15317,94.7%
32,2011-12,15665,1194,1299,1309,1275,1267,1220,1308,1327,1329,1310,636,967,568,656,7791,49.7%,7874,50.3%,279,1.8%,3315,21.2%,11772,75.1%,85,0.5%,214,1.4%,2308,14.7%,3001,19.2%,14621,93.3%
32,2012-13,14910,1092,1181,1277,1201,1227,1147,1180,1334,1304,1269,732,959,499,508,7379,49.5%,7531,50.5%,256,1.7%,3032,20.3%,11336,76.0%,80,0.5%,206,1.4%,2392,16.0%,2780,18.6%,13968,93.7%
32,2013-14,14636,1226,1091,1221,1203,1155,1171,1149,1229,1289,1269,644,875,572,542,7253,49.6%,7383,50.4%,264,1.8%,2856,19.5%,11191,76.5%,106,0.7%,219,1.5%,2627,17.9%,2608,17.8%,13800,94.3%
32,2014-15,14011,1433,996,1059,1118,1098,1091,1090,1128,1192,1237,642,878,534,515,6886,49.1%,7125,50.9%,269,1.9%,2569,18.3%,10848,77.4%,81,0.6%,244,1.7%,2401,17.1%,2561,18.3%,13146,93.8%
84,2010-11,39521,0,5786,5793,4746,3400,2646,4022,3635,2530,1827,1971,1701,969,495,20146,51.0%,19375,49.0%,664,1.7%,23620,59.8%,12677,32.1%,1264,3.2%,1296,3.3%,5187,13.1%,2268,5.7%,31475,79.6%
84,2011-12,47988,0,6390,6619,5919,4577,3353,4429,4227,3433,2325,2582,1774,1543,817,24513,51.1%,23475,48.9%,820,1.7%,28910,60.2%,15919,33.2%,768,1.6%,1571,3.3%,6427,13.4%,2803,5.8%,38634,80.5%
84,2012-13,58797,0,7728,7407,6806,5859,4372,5431,5139,4073,3285,3530,2264,1605,1298,30172,51.3%,28625,48.7%,1161,2.0%,34553,58.8%,20171,34.3%,954,1.6%,1958,3.3%,8375,14.2%,3668,6.2%,47509,80.8%
84,2013-14,71905,0,9670,9045,7701,6746,5601,6630,6593,4930,3894,4736,2974,1948,1437,36671,51.0%,35234,49.0%,1516,2.1%,41388,57.6%,25078,34.9%,1287,1.8%,2636,3.7%,11208,15.6%,4541,6.3%,57265,79.6%
84,2014-15,84717,194,10575,10681,9011,7659,6530,7567,7754,6503,4765,5258,3795,2542,1883,43183,51.0%,41534,49.0%,1909,2.3%,47728,56.3%,30352,35.8%,1442,1.7%,3286,3.9%,12809,15.1%,5272,6.2%,63929,75.5%